Time ,Temp1,Temp2,Temp3,TCTemp3,,,외부 온도,23.9
1337.614,19.81832182,19.85721532,25.1160531,29.12154432,,,,
1337.715,19.74289924,19.95697699,24.14848895,28.15398017,,,,
1337.814,19.68918066,20.05061914,24.41726801,28.42275923,,,,
1337.915,19.76208854,20.01922039,24.84608492,28.85157614,,,,
1338.015,19.77464614,20.13849022,25.59827423,29.60376545,,,,
1338.114,19.74081285,19.93168439,25.37797459,29.38346581,,,,
1338.214,19.74482065,19.95178637,25.28514889,29.29064011,,,,
1338.38,19.72012026,19.92339211,25.3292979,29.33478912,,,,
1338.415,19.74025019,19.67071813,24.94370739,28.94919861,,,,
1338.514,19.76677138,19.81347869,25.27673366,29.28222488,,,,
1338.615,19.7206193,19.96633199,25.74881104,29.75430226,,,,
1338.715,19.72519597,19.86098737,25.21801423,29.22350545,,,,
1338.814,19.79363264,19.85497881,24.94235876,28.94784998,,,,
1338.915,19.67176372,19.73294368,25.01541312,29.02090434,,,,
1339.016,19.72486693,19.78016658,24.77443715,28.77992837,,,,
1339.114,19.75441942,19.93333624,25.99900136,30.00449258,,,,
1339.215,19.70345178,19.88225879,25.45152483,29.45701605,,,,
1339.314,19.75127284,20.00318312,24.61171742,28.61720864,,,,
1339.415,19.63665991,19.98586746,25.64900748,29.6544987,,,,
1339.515,19.69256719,19.82558466,25.40969719,29.41518841,,,,
1339.614,19.71757351,19.95956233,25.41927579,29.42476701,,,,
1339.714,19.7311818,19.89981983,25.85164395,29.85713517,,,,
1339.815,19.69242318,19.82986656,25.87765799,29.88314921,,,,
1339.914,19.67852767,20.14631822,25.80190462,29.80739584,,,,
1340.015,19.64553241,19.91965532,24.91834789,28.92383911,,,,
1340.116,19.70812633,19.87111257,25.19929529,29.20478651,,,,
1340.214,19.71049574,20.12984512,26.34846939,30.35396061,,,,
1340.379,19.69553002,20.08609239,26.16396174,30.16945296,,,,
1340.414,19.73112589,20.05802493,25.71793532,29.72342654,,,,
1340.515,19.6744041,19.92346739,25.88460644,29.89009767,,,,
1340.615,19.71402074,19.78169906,25.44028134,29.44577256,,,,
1340.714,19.79564608,19.93896606,25.82475219,29.83024341,,,,
1340.815,19.70113387,20.01024671,25.95127745,29.95676867,,,,
1340.916,19.70538493,20.15464245,25.07673299,29.08222421,,,,
1341.014,19.76552082,20.06340082,25.73614546,29.74163668,,,,
1341.115,19.75423998,19.82231228,25.70987725,29.71536847,,,,
1341.214,19.7868966,19.89671384,24.93439875,28.93988997,,,,
1341.315,19.72281908,20.11953654,25.21155405,29.21704527,,,,
1341.415,19.7436098,20.14866599,25.24704643,29.25253765,,,,
1341.514,19.76002949,20.24026187,25.5230727,29.52856392,,,,
